listing_id,buyer_reviews,summary
253244255,"Very happy with my purchase.\nshipping was much quicker than I anticipated. \nThanks a lot! | Beautiful. | Awesome, thanks! | These are real beauties. They will be a great addition to any piece I make.",Not enough data
1656353753,Very cute looking products. Good size. | Such a perfect unique gift | Item was perfect but the box was damaged on arrival. | Wonderful quality and exceeded expectations 👏,Not enough data
1832149520,Super great product and fantastic store | Super great product and great shop! | This is perfect for my sassy little 1 year old granddaughter! | Can’t wait to put this on my daughter for st pattys day!!,Super great product.
1749027379,As described. Will go with costume | Very cute tail! Good quality! | Exactly what my daughter wanted! | Wonderful Item for a good price :),Good quality and cute.
1561187173,"Just what I was looking for! | I will buy again soon | Great delivery and fast delivery | Adorable snowman beads, perfect for holiday crafting!",Fast delivery is mentioned.
1737708960,"Exactly what we hoped for! | Fantastic service, fast and perfect | Fantastic service- fast and perfect | Perfect for my Bach party",Fantastic service and perfect.
185242172,"This ZIA sun is the New Mexico state symbol, so of course, since I live in NM I had to purchase it.  I also have it as an Art Block in my living room and constantly get compliments about its uniqueness. I am now trying to decide how many more of this seller&#39;s Art Blocks I need to order for a spectacular grouping! | Thank you for the prompt (extremely) fast shipping. I will be shipping it out again to New Jersey with a wedding present.  | I love my products! I also appreciate the seller&#39;s &quot;thank you&quot; note included in the package. I will be shopping here again in the future! | Beautiful, I love it! Wonderful artist! | The cards were shipped immediately and very well packed, and are BEAUTIFUL!  Every bit as good as they look on Etsy - highly recommended | erstklassig danke, first class, thank you",[Buyers appreciate the fast shipping and the beautiful products.]
1423514623,Great download for my vintage machine! | Exactly what I needed! Download was easy! | thank you all for the manual . it is very useful. | This product was outstanding!  I was so lucky to find it on Etsy!,Download was easy and useful.
1009029495,"these chains are very nice quality | So pretty, love the color so much! | Great chain, and arrived on time | Great quality and fast shipping! | Great quality product and item as described.  Met or exceeded my expectations.",The chains are great quality.
1254885863,"Everything came out perfectly! Very cute! | Just perfect and super quick delivery | Just what I needed, thank you! | Happy to have so many aristocats",Items are cute and perfect.
1655607363,great seller. fast shipping highly recommended | This is a cool shirt | great seller great communicaton. fast shipping. | Excellent service. Great seller.\nHighly recommended! | Nice item good quality took about 10 days to receive but worth the wait,Great seller with fast shipping.
1248153207,"Really good. Nice wrapping paper | Great quality and quick delivery | Perfect, Love it Thank you. A++++++++++++ | Very good quality product! Love it",The product has good quality.
1724892613,"Super easy to follow and a amazing pattern | Cute Pattern.  Easy to follow. | The pattern was easy to follow and the bag came out great ! | Super cute and easy to follow! | So easy I love it | excellent product. Easy instructions. I just wish it had the full layout of the granny squares before you stitched them together. | can&#39;t wait to make it! | Pattern was super well written and very easy to follow, thank you! | The pattern and design are beautiful. I especially love the colors, and can&#39;t wait to finish this pattern to give as a gift. | Love the pattern. Easy to follow. | Pattern is missing photos 4 and 5 for the strawberries. It&#39;s says there should be an arrow pointing to one of the stitches.",The pattern is easy to follow.
478757126,"I have made two of these hats and love how they turned out.  Pattern very easy to follow💕 | Easy,  cute, love it!! | pictures help pattern somewhat easy to follow | I have not made this yet as I had to many projects todo for gifts. | Super customer service.  I can’t wait to make this. | it easy to follow and fest Thank you",The pattern is easy to follow.
1813386474,"Just what I wanted! Beautiful | I love that this is a smaller size infinity scarf and is lightweight.  Goes perfectly with my two green sweaters for the holidays. | What a beautiful scarf, I love it !! Thank you | I really like this infinity scarf.  It was exactly what I was looking for.    I didn’t want a heavy scarf, I was looking for a light weight holiday scarf for fashion (not warmth).   It’s perfect. | Very pretty scarf.  Light weight so it doesn&#39;t suffocate.  Well made.  I&#39;m happy.\np.s.  I gave Customer Service 5 stars, but didn&#39;t have to contact customer service.  But assuming CS is as nice as the product. | Shipped very quickly and carefully packaged - everything was very well made and super cute as always! Thank you so much! &lt;3 | What a gorgeous scarf! I love the lightness of the fabric; I can wear all day and not sweat. That is perfect! I am already looking forward to purchasing further scarves in the future!",The scarf is lightweight and beautiful.
1825895413,"Fast delivery and as described thank you 😊 | Great contact and finished card - thank you!! | Lovely card, there was a small spelling mistake on the front but overall card was lovely. | Item was exactly as described and arrived quickly. Thank you",Items arrived quickly and as described.
1312211726,Great mock ups for my store! | Perfect! Thank you so much! | Great mockup I love it! | Excellent quality and fun mockup!,Great mockups with excellent quality.
700938021,"Great selection from this shop, quick to ship.  Perfect for embellishing cross stitched finishes. | Exactly what I wanted. Thanks | Just what I wanted. Very helpful seller. Thank you very much! | Lovely little vintage buttons with speedy dispatch. | Very good and delivered fast",Items are as expected and ship quickly.
1654545776,Excellent quality and craftsmanship overall! | Very good thanks so much | Looks just like the picture very comfortable fit | Quick delivery and good quality,Good quality and comfortable fit are mentioned.
